,date,SF5
0,1/01/2019,
1,1/02/2019,
2,1/03/2019,
3,1/04/2019,
4,1/05/2019,
5,1/06/2019,5.0
6,1/07/2019,5.0
7,1/08/2019,5.0
8,1/09/2019,5.0
9,1/10/2019,5.0
10,1/11/2019,5.0
11,1/12/2019,5.0
12,1/01/2020,5.0
13,1/02/2020,5.0
14,1/03/2020,5.0
15,1/04/2020,5.0
16,1/05/2020,5.0
17,1/06/2020,5.0
18,1/07/2020,5.0
19,1/08/2020,
20,1/09/2020,
21,1/10/2020,
22,1/11/2020,
23,1/12/2020,
